98,'Intel Core Ultra 5 225 [BX80768225]','Intel','https://media.solotodo.com/media/products/2018694_picture_1742393861.png',348.27,332790,'https://solotodo.com/products/266046',6,10,3300,4900,65,'LGA 1851','Intel Arrow Lake','Arc Xe-LPG Graphics 16EU','No posee',0,0
99,'Intel Core i7-10700K [BX8070110700K]','Intel','https://media.solotodo.com/media/products/1165864_picture_1590701983.jpg',364.86,348634,'https://solotodo.com/products/81374',8,16,3800,5100,125,'LGA 1200','Intel Comet Lake','UHD 630','No posee',524,5292
100,'Intel Core i7-10700KF [BX8070110700KF]','Intel','https://media.solotodo.com/media/products/1165864_picture_1590701983.jpg',375.95,359234,'https://solotodo.com/products/92820',8,16,3800,5100,125,'LGA 1200','Intel Comet Lake','No posee','No posee',524,5292
101,'AMD Ryzen 7 7700 [100-100000592BOX]','AMD','https://media.solotodo.com/media/products/1696728_picture_1673410464.jpg',376.74,359990,'https://solotodo.com/products/166286',8,16,3800,5300,65,'AM5','AMD Zen 4','RDNA 2','Wraith Prism',744,7739
102,'Intel Core Ultra 5 245KF [BX80768245KF]','Intel','https://media.solotodo.com/media/products/1987698_picture_1732495097.jpg',384.58,367480,'https://solotodo.com/products/259413',6,14,4200,5200,125,'LGA 1851','Intel Arrow Lake','No posee','No posee',0,0
103,'AMD Ryzen 7 9700X [100-100001404MPK]','AMD','https://media.solotodo.com/media/products/1975106_picture_1730720582.webp',391.25,373854,'https://solotodo.com/products/257167',8,16,3800,5500,65,'AM5','AMD Zen 5','RDNA 2','No posee',866,8890
104,'AMD Ryzen 7 7700X [100-100000591WOF]','AMD','https://media.solotodo.com/media/products/1647092_picture_1672267311.jpg',381.66,364690,'https://solotodo.com/products/151870',8,16,4500,5400,105,'AM5','AMD Zen 4','RDNA 2','No posee',773,7944
105,'Intel Core i5-13600K [BX8071513600K]','Intel','https://media.solotodo.com/media/products/1648709_picture_1664520396.jpg',410.34000000000003,392094,'https://solotodo.com/products/152130',6,20,3500,5100,125,'LGA 1700','Intel Raptor Lake','UHD 770','No posee',775,9329
106,'Intel Core Ultra 5 245K [BX80768245K]','Intel','https://media.solotodo.com/media/products/1983362_picture_1732090570.jpg',405.63,387600,'https://solotodo.com/products/258694',6,14,4200,5200,125,'LGA 1851','Intel Arrow Lake','Arc Xe2 Graphics 64EU','No posee',0,0
107,'Intel Core i5-13600KF [BX8071513600KF]','Intel','https://media.solotodo.com/media/products/1648729_picture_1664520479.jpg',400.6,382790,'https://solotodo.com/products/152131',6,20,3500,5100,125,'LGA 1700','Intel Raptor Lake','No posee','No posee',775,9329
